time,threads,limit
0.010782,8,100000
0.011059,8,100000
0.011853,8,100000
0.018791,8,100000
0.022521,8,100000
0.20482,1,1000000
0.188192,1,1000000
0.181604,1,1000000
0.101735,1,1000000
0.169611,1,1000000
0.161835,1,1000000
0.168598,1,1000000
0.220046,1,1000000
0.203778,1,1000000
0.169589,1,1000000
0.112006,2,1000000
0.172076,2,1000000
0.154031,2,1000000
0.159416,2,1000000
0.168107,2,1000000
0.103234,2,1000000
0.097461,2,1000000
0.116924,2,1000000
0.11439,2,1000000
0.104328,2,1000000
0.16964,4,1000000
0.107993,4,1000000
0.130935,4,1000000
0.102732,4,1000000
0.154746,4,1000000
0.11219,4,1000000
0.177403,4,1000000
0.148695,4,1000000
0.145614,4,1000000
0.114249,4,1000000
0.123583,8,1000000
0.162462,8,1000000
0.10368,8,1000000
0.10736,8,1000000
0.104249,8,1000000
0.099082,8,1000000
0.105526,8,1000000
0.132565,8,1000000
0.148837,8,1000000
0.105445,8,1000000
2.095356,1,10000000
1.623233,1,10000000
2.067382,1,10000000
2.089441,1,10000000
2.121858,1,10000000
2.221622,1,10000000
1.907807,1,10000000
1.822381,1,10000000
2.040957,1,10000000
2.054268,1,10000000
2.34265,2,10000000
2.267404,2,10000000
2.076547,2,10000000
2.226337,2,10000000
2.251549,2,10000000
1.942202,2,10000000
2.148154,2,10000000
1.852992,2,10000000
2.375389,2,10000000
2.285432,2,10000000
2.182678,4,10000000
2.033405,4,10000000
2.261233,4,10000000
2.092966,4,10000000
2.328243,4,10000000
1.897085,4,10000000
1.891317,4,10000000
1.979989,4,10000000
2.260925,4,10000000
2.104179,4,10000000
2.139176,8,10000000
2.014928,8,10000000
1.949414,8,10000000
2.018738,8,10000000
2.364972,8,10000000
2.216384,8,10000000
2.319465,8,10000000
2.157089,8,10000000
1.83855,8,10000000
2.043921,8,10000000
22.588661,1,100000000
23.130545,1,100000000
23.562983,1,100000000
24.514148,1,100000000
22.864814,1,100000000
25.138694,1,100000000
24.133549,1,100000000
23.886107,1,100000000
23.427298,1,100000000
23.813385,1,100000000
24.270262,2,100000000
21.640866,2,100000000
24.24367,2,100000000
24.380366,2,100000000
24.022382,2,100000000
24.258682,2,100000000
23.697579,2,100000000
23.135741,2,100000000
22.71618,2,100000000
22.549779,2,100000000
23.024948,4,100000000
23.367551,4,100000000
22.910103,4,100000000
21.151702,4,100000000
23.337294,4,100000000
22.896042,4,100000000
22.019286,4,100000000
21.476932,4,100000000
23.048163,4,100000000
22.189049,4,100000000
22.308113,8,100000000
22.438336,8,100000000
22.451379,8,100000000
24.806912,8,100000000
22.499644,8,100000000
22.984555,8,100000000
24.100093,8,100000000
22.996557,8,100000000
23.21462,8,100000000
23.900775,8,100000000
